DATE,HOTEL_ID,DTA,LOS,BOOKING_DOW,BOOKINGS,GMV
2020-03-04,130555,0,1,Wed,1,46.2361088
2020-03-11,273517,0,1,Wed,1,140.2085888
2020-03-13,219022,0,1,Fri,1,72.3917824
2020-03-16,211774,2,1,Mon,1,99.660288
2020-03-17,399537,1,1,Tue,1,37.7868288
2020-03-05,353156,1,2,Thu,1,104.0786432
2020-03-03,216981,1,1,Tue,1,64.0826368
2020-03-05,111093,0,1,Thu,1,96.6680064
2020-03-20,105771,0,2,Fri,1,160.5528064
2020-03-30,116501,0,1,Mon,1,38.7100672
2020-03-11,269156,2,1,Wed,1,131.7840384
2020-03-26,118338,0,1,Thu,1,44.9748992
2020-03-24,211263,0,1,Tue,1,50.2175744
2020-03-20,233621,0,1,Fri,1,101.7293312
2020-03-14,124335,0,3,Sat,1,143.8685696
2020-03-14,337672,0,1,Sat,1,77.89824
2020-03-01,128897,48,1,Sun,1,125.0740736
2020-03-10,454870,0,1,Tue,2,79.5963392
2020-03-15,433674,0,1,Sun,1,63.926016
2020-03-17,134071,0,1,Tue,1,88.2104832
2020-03-06,310523,38,3,Fri,1,241.4268416
2020-03-07,337676,0,1,Sat,1,72.6967808
2020-03-03,106751,0,2,Tue,2,232.6395904
2020-03-01,108439,0,1,Sun,1,72.375296
2020-03-17,174132,0,1,Tue,1,74.724608
2020-03-19,145288,24,1,Thu,1,79.6128256
2020-03-01,112899,60,3,Sun,1,571.4515968
2020-03-19,313568,0,1,Thu,1,61.9146752
2020-03-18,200046,1,1,Wed,1,58.897664
2020-03-03,630346,0,1,Tue,1,64.5360128
2020-03-01,243782,2,1,Sun,1,67.1573504
2020-03-05,123502,0,1,Thu,1,45.0573312
2020-03-11,118907,0,1,Wed,1,56.795648
2020-03-28,273356,2,1,Sat,1,58.3123968
2020-03-11,109107,0,1,Wed,1,94.5577472
2020-03-10,311298,3,2,Tue,2,396.8606208
2020-03-07,783206,0,1,Sat,1,112.5361664
2020-03-24,193531,0,1,Tue,1,125.5604224
2020-03-19,153571,0,1,Thu,2,177.0886656
2020-03-06,123792,25,1,Fri,1,46.5493504
2020-03-21,175417,1,2,Sat,1,137.001984
2020-03-07,111888,0,1,Sat,2,103.3449984
2020-03-17,313573,0,1,Tue,1,55.1552512
2020-03-23,228703,2,1,Mon,1,44.9748992
2020-03-22,191033,0,1,Sun,2,95.3078784
2020-03-22,150771,0,1,Sun,1,41.6364032
2020-03-24,107302,0,1,Tue,1,67.8497792
2020-03-06,106120,0,1,Fri,2,206.6075648
2020-03-07,210111,2,1,Sat,1,85.8446848
2020-03-07,242536,1,1,Sat,1,66.811136
2020-03-22,201704,0,1,Sun,1,66.9430272
2020-03-19,408064,0,1,Thu,1,91.334656
2020-03-25,135008,1,1,Wed,1,50.613248
2020-03-01,347200,1,1,Sun,1,77.9476992
2020-03-23,112373,0,1,Mon,1,46.1948928
2020-03-23,231347,0,1,Mon,1,83.2892928
2020-03-26,142516,0,1,Thu,2,72.3258368
2020-03-08,108191,5,1,Sun,1,128.1735168
2020-03-01,212431,1,1,Sun,1,83.6025344
2020-03-18,142592,0,1,Wed,2,92.4145152
2020-03-15,201916,0,1,Sun,1,48.1155584
2020-03-15,134417,6,2,Sun,1,136.795904
2020-03-09,109186,0,1,Mon,1,87.9796736
2020-03-02,207756,0,1,Mon,1,67.3222144
2020-03-19,264513,0,1,Thu,1,65.4427648
2020-03-26,123114,0,2,Thu,1,68.1547776
2020-03-20,107318,0,2,Fri,2,308.872704
2020-03-15,383193,1,1,Sun,1,84.7648256
2020-03-04,127074,46,2,Wed,1,265.9338752
2020-03-12,112921,2,1,Thu,1,102.7844608
2020-03-15,164563,0,1,Sun,1,62.277376
2020-03-13,849455,0,1,Fri,1,85.9518464
2020-03-16,111852,0,1,Mon,1,49.5498752
2020-03-22,208043,0,1,Sun,1,78.392832
2020-03-06,107901,0,1,Fri,1,100.9462272
2020-03-13,262036,1,1,Fri,1,55.971328
2020-03-06,327266,84,2,Fri,1,169.274112
2020-03-18,179797,0,1,Wed,1,58.3288832
2020-03-07,211589,0,1,Sat,4,186.5024
2020-03-05,193208,1,2,Thu,2,291.232256
2020-03-04,176561,0,1,Wed,1,42.163968
2020-03-08,125446,0,1,Sun,1,64.9481728
2020-03-02,127179,0,1,Mon,4,231.3536512
2020-03-13,230758,0,1,Fri,1,49.7147392
2020-03-03,114451,0,1,Tue,1,59.0130688
2020-03-25,312903,0,1,Wed,1,72.0373248
2020-03-10,499139,1,1,Tue,1,78.3351296
2020-03-10,129211,0,2,Tue,1,161.8469888
2020-03-14,381084,0,1,Sat,2,84.863744
2020-03-20,153069,0,2,Fri,1,119.4686976
2020-03-10,648260,4,1,Tue,1,215.7740032
2020-03-01,114321,5,2,Sun,1,134.5042944
2020-03-21,716842,0,1,Sat,1,101.3996032
2020-03-06,743563,0,1,Fri,1,77.9064832
2020-03-05,112930,1,1,Thu,1,118.4300544
2020-03-01,123748,77,1,Sun,1,208.9568768
2020-03-14,273021,0,1,Sat,1,121.4058496
2020-03-27,218337,0,2,Fri,1,168.8784384
2020-03-17,325996,2,1,Tue,1,102.0590592
2020-03-07,106066,0,1,Sat,1,110.0961792
